capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,date_diff_days
4000787030016,0,119.0,208663312.0,92.0,0.0,100.0,9.0,100.0,0.0,86.0,429695685.0,68.0,28392.0,100.0,0.0,100.0,9.0,100.0,0.0,97.0,7273.0,23.0,23.0,100.0,0.0,100.0,0.0,200.0,0.0,26
12000138625024,0,79.0,155920208.0,98.0,0.0,100.0,2.0,100.0,24.0,88.0,700242443.0,87.0,11650.0,100.0,0.0,100.0,2.0,100.0,123.0,100.0,633.0,40.0,40.0,100.0,88.0,100.0,88.0,200.0,0.0,26
8001563222016,0,77.0,54823024.0,98.0,0.0,100.0,2.0,100.0,0.0,95.0,3376121363.0,82.0,15892.0,100.0,0.0,100.0,2.0,100.0,15.0,93.0,14936.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,52
12000138625024,0,84.0,235330528.0,94.0,0.0,100.0,5.0,100.0,0.0,85.0,322598055.0,89.0,10487.0,100.0,0.0,100.0,4.0,100.0,116.0,100.0,1501.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0,83
8001563222016,0,67.0,240427784.0,95.0,0.0,100.0,4.0,100.0,3896.0,95.0,2854144453.0,86.0,12937.0,100.0,0.0,100.0,4.0,100.0,7.0,93.0,14353.0,38.0,38.0,100.0,0.0,100.0,0.0,200.0,0.0,27
500107862016,0,200.0,25563.0,150.0,1475.0,100.0,32.0,200.0,0.0,200.0,0.0,60.0,29910.0,100.0,0.0,100.0,32.0,200.0,18.0,188.0,38139.0,116.0,27.0,200.0,0.0,100.0,0.0,200.0,0.0,38
12000138625024,0,74.0,22948152.0,94.0,0.0,100.0,5.0,100.0,0.0,88.0,656762974.0,94.0,5691.0,100.0,0.0,100.0,5.0,100.0,66.0,100.0,657.0,33.0,33.0,100.0,0.0,100.0,0.0,200.0,0.0,22
4000787030016,0,100.0,0.0,100.0,441.0,100.0,8.0,100.0,20.0,100.0,0.0,98.0,15774.0,100.0,0.0,100.0,8.0,100.0,227.0,100.0,227.0,171.0,35.0,100.0,56.0,100.0,0.0,200.0,0.0,7
8001563222016,0,72.0,14449856.0,90.0,0.0,100.0,5.0,100.0,0.0,91.0,1144872113.0,76.0,21438.0,100.0,0.0,100.0,5.0,100.0,1.0,92.0,16519.0,31.0,31.0,100.0,0.0,100.0,0.0,200.0,0.0,48
12000138625024,0,83.0,199924712.0,96.0,0.0,100.0,3.0,100.0,0.0,89.0,833253754.0,93.0,6384.0,100.0,0.0,100.0,3.0,100.0,53.0,100.0,412.0,37.0,37.0,100.0,8.0,100.0,8.0,200.0,0.0,67
4000787030016,0,117.0,120172128.0,92.0,0.0,100.0,8.0,100.0,0.0,86.0,422728539.0,69.0,27839.0,100.0,0.0,100.0,8.0,100.0,1.0,96.0,9024.0,21.0,21.0,100.0,0.0,100.0,0.0,200.0,0.0,80
12000138625024,0,79.0,88925808.0,96.0,0.0,100.0,3.0,100.0,0.0,89.0,829899480.0,93.0,6370.0,100.0,0.0,100.0,3.0,100.0,50.0,100.0,366.0,28.0,28.0,100.0,0.0,100.0,0.0,200.0,0.0,70
4000787030016,0,119.0,206641936.0,99.0,0.0,100.0,11.0,100.0,464.0,87.0,536324457.0,64.0,31878.0,100.0,0.0,100.0,1.0,100.0,0.0,97.0,7564.0,18.0,18.0,100.0,8.0,100.0,8.0,200.0,0.0,2
4000787030016,0,116.0,110582864.0,94.0,0.0,100.0,6.0,100.0,0.0,86.0,444921159.0,67.0,29453.0,100.0,0.0,100.0,6.0,100.0,1.0,90.0,20064.0,18.0,18.0,100.0,0.0,100.0,0.0,200.0,0.0,81
12000138625024,0,78.0,63569448.0,90.0,0.0,100.0,8.0,100.0,0.0,82.0,166030810.0,91.0,8718.0,100.0,0.0,100.0,7.0,100.0,79.0,100.0,483.0,27.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0,86
8001563222016,0,81.0,114143968.0,93.0,0.0,100.0,4.0,100.0,0.0,93.0,2081629362.0,75.0,22061.0,100.0,0.0,100.0,4.0,100.0,0.0,97.0,6324.0,27.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0,79
12000138625024,0,77.0,46855528.0,92.0,0.0,100.0,6.0,100.0,0.0,88.0,664788353.0,94.0,5691.0,100.0,0.0,100.0,6.0,100.0,64.0,100.0,668.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,41
4000787030016,0,118.0,189457424.0,100.0,0.0,100.0,4.0,100.0,0.0,83.0,214315294.0,66.0,30393.0,100.0,0.0,100.0,0.0,100.0,0.0,30.0,140385.0,20.0,20.0,100.0,0.0,100.0,0.0,200.0,0.0,76
8001563222016,0,78.0,65208136.0,92.0,0.0,100.0,4.0,100.0,0.0,96.0,4172984801.0,81.0,17087.0,100.0,0.0,100.0,4.0,100.0,1.0,90.0,20680.0,34.0,34.0,100.0,0.0,100.0,0.0,200.0,0.0,77
4000787030016,0,113.0,50673376.0,91.0,0.0,100.0,22.0,100.0,0.0,69.0,8982917.0,68.0,28660.0,100.0,0.0,100.0,22.0,100.0,0.0,1.0,325007.0,30.0,30.0,100.0,0.0,100.0,0.0,200.0,0.0,37
